ID;Name;LongName;Parent;Component;Path;Line;Column;EndLine;EndColumn;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;Natt;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;WarningBlocker;WarningCritical;WarningInfo;WarningMajor;WarningMinor;Bad Practice Rules;Best Practice Rules;Clone Metric Rules;Code Style Rules;Cohesion Metric Rules;Complexity Metric Rules;Correctness Rules;Coupling Metric Rules;Design Rules;Documentation Metric Rules;Documentation Rules;Dodgy Code Rules;Error Prone Rules;Experimental Rules;Inheritance Metric Rules;Internationalization Rules;Multithreaded Correctness Rules;Multithreading Rules;Optimization Rules;Performance Rules;Runtime Rules;Security Code Guideline Rules;Security Rules;Size Metric Rules;Vulnerability Rules
L38236;ConfLoader;conf.ConfLoader;L162081;L103;D:\Descargas\lucene-4.9.1\benchmark\src\test\conf\ConfLoader.java;20;1;22;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0.894737;17;16;1;0;0.894737;17;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L84895;LucenePackage;org.apache.lucene.LucenePackage;L106;L103;D:\Descargas\lucene-4.9.1\core\src\java\org\apache\lucene\LucenePackage.java;21;1;29;2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;1;0.76;19;18;2;0;0.76;19;0;0;0;0;0;6;9;0;0;0;0;2;0;1;0;2;1;0;1;0;6;9;0;0;0;0;2;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L134557;TestAssertions;org.apache.lucene.TestAssertions;L106;L103;D:\Descargas\lucene-4.9.1\core\src\test\org\apache\lucene\TestAssertions.java;26;1;55;2;0;0;0;0;0;0;0;0;1;1;1;2;4;0;0;0;1;0.5;0.235294;4;3;1;1;0.137931;4;1;1;0;0;1;13;18;47;6;0;0;1;0;1;0;107;7;28;94;3;25;30;54;24;0;0;4;0;4;0;200;10;30;169;3;0;1;34;0;0;0;0;0;0;0;0;0;0;0;20;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0
L134579;TestDemo;org.apache.lucene.TestDemo;L106;L103;D:\Descargas\lucene-4.9.1\core\src\test\org\apache\lucene\TestDemo.java;40;1;80;2;0.326531;1;1;1;0.268293;0.275862;11;8;1;1;1;2;16;0;0;21;22;0.5;0.309524;13;6;1;1;0.309524;13;1;1;0;0;1;29;41;47;6;0;0;1;0;1;0;107;26;28;94;3;29;41;47;6;0;0;1;0;1;0;107;26;28;94;3;0;0;23;1;5;0;5;10;0;0;0;0;2;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0
L134583;TestExternalCodecs;org.apache.lucene.TestExternalCodecs;L106;L103;D:\Descargas\lucene-4.9.1\core\src\test\org\apache\lucene\TestExternalCodecs.java;38;1;137;2;0;0;0;0;0;0;0;0;1;2;2;9;15;0;0;29;30;1;0.109589;8;5;2;0;0.0909091;8;1;1;0;0;1;65;83;47;6;0;0;1;0;1;0;107;50;28;94;3;80;100;63;11;3;1;2;0;2;0;127;55;28;113;4;0;3;20;8;12;0;20;0;0;0;0;0;2;0;9;0;0;2;0;0;0;0;0;0;1;0;0;0;9;0
L134603;TestMergeSchedulerExternal;org.apache.lucene.TestMergeSchedulerExternal;L106;L103;D:\Descargas\lucene-4.9.1\core\src\test\org\apache\lucene\TestMergeSchedulerExternal.java;41;1;149;2;0;0;0;0;0;0;0;0;1;1;1;3;16;2;0;27;29;0.333333;0.1875;9;4;1;2;0.0927835;9;1;1;0;0;1;39;53;50;6;3;0;2;0;2;0;108;29;28;95;3;88;109;66;13;3;1;9;0;6;0;147;50;30;119;9;0;0;45;2;12;0;7;0;5;2;0;0;2;0;31;1;0;1;0;0;0;0;0;0;0;0;0;0;10;0
L134650;TestSearch;org.apache.lucene.TestSearch;L106;L103;D:\Descargas\lucene-4.9.1\core\src\test\org\apache\lucene\TestSearch.java;35;1;198;2;0.287248;1;2;2;0.182927;0.206349;30;26;1;2;2;10;24;0;0;35;39;0.666667;0.080292;11;10;2;1;0.080292;11;1;1;0;0;1;126;164;47;6;0;0;4;0;2;0;110;97;28;95;3;126;164;47;6;0;0;4;0;2;0;110;97;28;95;3;0;0;32;3;5;0;5;12;0;0;0;0;3;1;9;0;0;1;0;0;0;0;0;0;1;0;0;0;8;0
L134663;TestSearchForDuplicates;org.apache.lucene.TestSearchForDuplicates;L106;L103;D:\Descargas\lucene-4.9.1\core\src\test\org\apache\lucene\TestSearchForDuplicates.java;32;1;144;2;0;0;0;0;0;0;0;0;1;2;2;16;22;0;0;28;32;0.5;0.11828;11;8;1;1;0.11828;11;1;1;0;0;1;82;113;52;6;5;0;4;0;1;0;110;65;28;94;3;82;113;52;6;5;0;4;0;1;0;110;65;28;94;3;0;0;19;3;6;0;3;0;5;0;0;0;2;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
L134693;TestWorstCaseTestBehavior;org.apache.lucene.TestWorstCaseTestBehavior;L106;L103;D:\Descargas\lucene-4.9.1\core\src\test\org\apache\lucene\TestWorstCaseTestBehavior.java;26;1;98;2;0.127572;2;2;2;0.150685;0.171875;11;11;6;2;2;12;1;0;0;0;6;0.142857;0.253521;18;16;1;6;0.228916;19;1;1;0;0;1;53;61;47;6;0;0;6;0;6;0;112;29;28;99;3;64;73;47;6;0;0;8;0;8;0;114;32;28;101;3;0;0;53;12;2;0;11;20;2;1;0;0;0;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
L159613;Among;org.tartarus.snowball.Among;L159608;L103;D:\Descargas\lucene-4.9.1\analysis\common\src\java\org\tartarus\snowball\Among.java;45;1;74;2;0;0;0;0;0;0;0;0;0;2;2;3;1;24;0;0;1;0.5;0.357143;15;9;1;1;0.357143;15;0;0;0;0;0;27;30;7;0;7;0;1;6;1;0;1;10;6;1;0;27;30;7;0;7;0;1;6;1;0;1;10;6;1;0;0;0;8;1;8;0;0;0;6;0;0;0;0;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0
